City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Tutoia,BR,-2.76,-42.27,79.27,79,0,14.0,clear sky
174,Krasnokholmskiy,RU,55.99,55.05,61.2,72,36,5.21,scattered clouds
175,Guasdualito,VE,7.24,-70.73,74.08,95,72,1.83,light rain
176,Lensk,RU,60.73,114.93,67.68,33,5,10.85,clear sky
177,Acapulco,MX,16.86,-99.89,80.6,83,90,5.82,overcast clouds
178,Miura,JP,35.14,139.62,93.0,54,0,7.0,clear sky
179,Salinas,US,36.68,-121.66,64.4,77,90,12.75,overcast clouds
180,Te Anau,NZ,-45.42,167.72,47.03,86,100,7.34,light rain
181,Kaduna,NG,10.52,7.44,69.94,92,56,6.4,light rain
182,Malanje,AO,-9.54,16.34,60.49,95,35,3.53,scattered clouds
183,Praia,CV,14.92,-23.51,80.6,83,75,3.36,broken clouds
184,Rio Branco,BR,-9.97,-67.81,78.8,65,0,1.12,clear sky
185,Vila,PT,42.03,-8.16,64.4,93,90,2.24,fog
186,Lakatoro,VU,-16.1,167.42,84.2,74,75,9.17,broken clouds
187,Carndonagh,IE,55.25,-7.27,54.86,92,100,15.23,light rain
188,Kichera,RU,55.94,110.1,67.23,49,100,5.99,overcast clouds
189,Ancud,CL,-41.87,-73.82,42.01,86,75,8.05,broken clouds
190,Thinadhoo,MV,0.53,72.93,82.83,64,100,5.12,light rain
191,Paramonga,PE,-10.67,-77.83,61.61,84,72,8.37,broken clouds
192,Hambantota,LK,6.12,81.12,80.6,94,40,4.7,scattered clouds
193,Greenwood,US,34.17,-82.12,77.0,94,1,3.36,clear sky
194,Qasigiannguit,GL,68.82,-51.19,37.4,74,89,1.12,overcast clouds
195,Norman Wells,CA,65.28,-126.83,57.2,62,75,12.75,broken clouds
196,Jutai,BR,-5.18,-68.9,76.89,73,61,0.98,broken clouds
197,Kyra,RU,49.58,111.98,60.58,90,100,10.87,light rain
198,Oistins,BB,13.07,-59.53,82.4,78,75,19.46,broken clouds
199,Shihezi,CN,44.3,86.03,69.26,39,100,18.03,overcast clouds
200,Gidole,ET,5.65,37.37,58.8,92,98,3.29,overcast clouds
201,Chicama,PE,-7.84,-79.15,60.31,86,17,5.46,few clouds
202,Dubbo,AU,-32.25,148.62,60.8,41,0,10.29,clear sky
203,Zhob,PK,31.34,69.45,75.0,61,0,2.06,clear sky
204,Castro,BR,-24.79,-50.01,53.26,83,0,2.82,clear sky
205,Cabo San Lucas,MX,22.89,-109.91,87.01,78,40,14.99,scattered clouds
206,Batagay-Alyta,RU,67.8,130.41,53.1,42,0,2.3,clear sky
207,Pucallpa,PE,-8.38,-74.55,72.91,56,0,0.96,clear sky
208,Skeldon,GY,5.88,-57.13,76.87,91,99,3.02,overcast clouds
209,Faya,SA,18.39,42.45,64.4,77,3,8.25,clear sky
210,Severomorsk,RU,69.07,33.42,39.2,86,6,4.47,clear sky
211,Itoman,JP,26.12,127.67,87.8,70,75,11.41,broken clouds
212,Vikindu,TZ,-7.01,39.3,68.0,100,20,2.95,fog
213,Ous,RU,60.91,61.52,58.12,76,1,9.1,clear sky
214,Enshi,CN,30.3,109.48,87.96,57,1,1.28,clear sky
215,San Pedro,PH,14.35,121.02,89.01,74,65,8.05,broken clouds
216,Faro,PT,37.02,-7.93,73.4,64,0,14.99,clear sky
217,Madimba,TZ,-10.4,40.33,70.16,89,71,3.36,broken clouds
218,Piritiba,BR,-11.73,-40.56,60.82,96,3,3.78,clear sky
219,Chumikan,RU,54.72,135.31,63.7,50,20,6.53,few clouds
220,Dargaville,NZ,-35.93,173.88,57.6,60,48,9.69,scattered clouds
221,Mersing,MY,2.43,103.84,84.2,79,40,3.36,scattered clouds
222,Navlya,RU,52.83,34.5,57.2,93,75,2.24,light intensity shower rain
223,Garissa,KE,-0.45,39.64,71.4,81,47,12.44,scattered clouds
224,Khartoum,SD,15.55,32.53,77.0,78,96,13.87,light rain
225,Chiscani,RO,45.18,27.93,64.4,63,82,2.24,broken clouds
226,Khasan,RU,42.43,130.64,75.9,86,60,5.3,broken clouds
227,Walvis Bay,NA,-22.96,14.51,51.01,100,0,5.82,clear sky
228,Nara,JP,34.69,135.8,88.0,88,75,2.24,broken clouds
229,Florence,IT,43.77,11.25,70.0,88,2,3.36,clear sky
230,Lagoa,PT,39.05,-27.98,73.69,88,90,6.08,light rain
231,Hasaki,JP,35.73,140.83,91.0,66,40,10.29,shower rain
